"TimeGenerated","LogTable","Action","ActionReason","Protocol","SourceIp","SourcePort","DestinationIp","DestinationPort","Fqdn","TargetUrl","WebCategory","Policy","RuleCollectionGroup","RuleCollection","Rule","FirewallResourceId"
"18-08-2026 08:32:15","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.39","60274","","443","main.vscode-cdn.net","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 08:32:14","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.39","60273","","443","main.vscode-cdn.net","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 08:32:14","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.39","60272","","443","main.vscode-cdn.net","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 08:27:15","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.39","60056","","443","main.vscode-cdn.net","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 08:27:15","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.39","60055","","443","main.vscode-cdn.net","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 08:27:14","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.39","60054","","443","main.vscode-cdn.net","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 08:27:14","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.39","60053","","443","main.vscode-cdn.net","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 08:26:21","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.39","59996","","443","default.exp-tas.com","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 08:22:14","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.39","59815","","443","main.vscode-cdn.net","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 08:22:14","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.39","59814","","443","main.vscode-cdn.net","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 08:22:14","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.39","59813","","443","main.vscode-cdn.net","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 08:22:14","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.39","59812","","443","main.vscode-cdn.net","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 08:20:43","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.37","58485","","443","www.bing.com","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 08:20:43","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.37","55296","","443","www.bing.com","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 08:17:14","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.39","59583","","443","main.vscode-cdn.net","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 08:17:14","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.39","59582","","443","main.vscode-cdn.net","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 08:17:14","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.39","59581","","443","main.vscode-cdn.net","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 08:17:14","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.13.39","59580","","443","main.vscode-cdn.net","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
"18-08-2026 08:15:30","AZFWApplicationRule","Deny","No rule matched. Proceeding with default action","HTTPS","172.25.176.15","34306","","443","cdn.fwupd.org","","","","","","","/subscriptions/818a8b62-e350-473b-811c-1b6fa4eb2432/resourcegroups/rg-vwan-v3nysoeym4kga/providers/microsoft.network/azurefirewalls/mercyhealth-azfw-northcentralus"
